HEADER INFORMATION (all units in Statoil default) 
----------------------------------------------------------------
COMPANY: Statoil Norway
FIELD: SLEIPNER
WELL NAME: F-10
WELLBORE NAME: NO 15/9-F-10
Drilled From: Well Ref. Point
Kick Off Depth: 1381.60m
Survey Name: F10 Rev 5.1 280409
Survey Date: 01.01.1990
Extraction Date: 11.04.2018
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Rotary Table(54.90m)
----------------------------------------------------------------
Surface EW: 435052.248m
Surface NS: 6478559.613m
Surface Latitude: 58° 26' 29.6816 N
Surface Longitude: 1° 53' 15.0698 E
Bottom Hole MD: 5413.67m
Bottom Hole TVD: 3065.94m
Bottom Hole EW: 438039.045m
Bottom Hole NS: 6476491.728m
----------------------------------------------------------------
Survey Program:  
H  150 - 260 26" CONTINUOUS WIRELINE GYRO TO SB : KEEPER, CONT
H  267 - 683 26" GYROMWD SURVEY : KEEPER, STAT
H  709 - 1382 26"MWD SURVEY : MAGNETIC, STD, NON-MAG
H  1382 - 5414 F10 REV 5.1 280409 : MAGNETIC, STD, NON-MAG
----------------------------------------------------------------
Water Depth: 91.00m
KB-WH: 145.90m
KB-MSL: 54.90m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 124.70deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
4650.00   85.63     131.99    2740.85   2463.936        -1652.332       437513.099      6476911.767     0.00      
4680.00   85.63     131.99    2743.14   2486.169        -1672.343       437535.324      6476891.762     0.00      
4710.00   85.63     131.99    2745.43   2508.402        -1692.355       437557.549      6476871.757     0.00      
4727.12   85.63     131.99    2746.73   2521.092        -1703.778       437570.235      6476860.339     0.00      
4740.00   84.36     131.80    2747.85   2530.640        -1712.343       437579.779      6476851.776     3.00      
4770.00   81.39     131.37    2751.58   2552.903        -1732.099       437602.034      6476832.027     3.00      
4800.00   78.42     130.92    2756.83   2575.141        -1751.531       437624.265      6476812.602     3.00      
4830.00   75.45     130.47    2763.61   2597.295        -1770.584       437646.411      6476793.555     3.00      
4860.00   72.49     130.00    2771.90   2619.303        -1789.208       437668.412      6476774.939     3.00      
4890.00   69.52     129.52    2781.66   2641.105        -1807.350       437690.206      6476756.803     3.00      
4920.00   66.56     129.02    2792.88   2662.641        -1824.961       437711.735      6476739.198     3.00      
4950.00   63.60     128.50    2805.52   2683.853        -1841.993       437732.939      6476722.172     3.00      
4980.00   60.64     127.95    2819.55   2704.681        -1858.399       437753.760      6476705.772     3.00      
5010.00   57.68     127.36    2834.93   2725.070        -1874.134       437774.142      6476690.042     3.00      
5037.19   55.00     126.80    2850.00   2743.124        -1887.781       437792.190      6476676.399     3.00      
5040.00   55.00     126.80    2851.61   2744.965        -1889.158       437794.030      6476675.023     0.00      
5070.00   55.00     126.80    2868.82   2764.642        -1903.879       437813.700      6476660.307     0.00      
5100.00   55.00     126.80    2886.02   2784.320        -1918.600       437833.371      6476645.592     0.00      
5130.00   55.00     126.80    2903.23   2803.998        -1933.320       437853.042      6476630.876     0.00      
5160.00   55.00     126.80    2920.44   2823.675        -1948.041       437872.713      6476616.160     0.00      
5190.00   55.00     126.80    2937.65   2843.353        -1962.762       437892.384      6476601.445     0.00      
5220.00   55.00     126.80    2954.85   2863.031        -1977.483       437912.054      6476586.729     0.00      
5250.00   55.00     126.80    2972.06   2882.708        -1992.203       437931.725      6476572.014     0.00      
5263.67   55.00     126.80    2979.90   2891.673        -1998.910       437940.687      6476565.309     0.00      
5280.00   55.00     126.80    2989.27   2902.386        -2006.924       437951.396      6476557.298     0.00      
5310.00   55.00     126.80    3006.48   2922.063        -2021.645       437971.067      6476542.582     0.00      
5340.00   55.00     126.80    3023.68   2941.741        -2036.366       437990.737      6476527.867     0.00      
5370.00   55.00     126.80    3040.89   2961.419        -2051.086       438010.408      6476513.151     0.00      
5400.00   55.00     126.80    3058.10   2981.096        -2065.807       438030.079      6476498.435     0.00      
5413.67   55.00     126.80    3065.94   2990.065        -2072.517       438039.045      6476491.728     0.00      
